Name,Research And Development,Total Operating Expense,Operating Income,"Interest Expense, Net - Operating",Income Tax - Total,Net Income Incl Extra Before Distributions,Preferred Dividends,Basic Normalized EPS,Diluted Normalized EPS,Basic Weighted Average Shares,Diluted Weighted Average Shares,DPS - Common Stock Primary Issue,"Gross Margin, Percent","EBIT Margin, Percent",EBITDA,EBIT,Cash and Short Term Investments,Short Term Investments,"Total Receivables, Net",Total Inventory,Total Current Assets,"Property/Plant/Equipment, Total - Net","Intangibles, Net","Goodwill, Net",Long Term Investments,"Total Assets, Reported",Accounts Payable,Notes Payable/Short Term Debt,Total Current Liabilities,Total Long Term Debt,Total Debt,Total Liabilities,Retained Earnings (Accumulated Deficit),Total Equity,Net Debt Incl. Pref.Stock & Min.Interest,"Other Long Term Assets, Total","Other Liabilities, Total",Depreciation And Amortization,"Cash from Operating Activities, Cumulative","Capital Expenditures, Discrete","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","FOCF Ex Dividends, Discrete","Net Change in Cash, Cumulative","Pretax Margin, Percent",Operating Profit Margin,"Net Profit Margin, (%)",Target
HAX.HM,,5378292631200.0,173192676430.0,17567151860.0,42105579360.0,160072053010.0,,3131.27858,3131.27858,47965650.0,47965650.0,475.0,6.42578,3.4270479021,229442816930.0,190252060770.0,87553230700.0,,254731601100.0,581173439030.0,935778061620.0,282279973690.0,11957697480.0,29872101660.0,,1277216734270.0,25953767120.0,195695238660.0,693391627390.0,0.0,499975875590.0,701316877630.0,165874019190.0,531053341420.0,422765899180.0,9211709370.0,,29447418270.0,335903192020.0,396720654020.0,-42316990300.0,-287491041930.0,-60817462000.0003,6095159800.0,3.63782,,2.88341,1
PJT.HM,,607726318140.0,19267700500.0,18980986610.0,5589291430.0,22073747260.0,,742.9491,742.9491,19733530.0,19733530.0,760.0,10.15841,6.0531840563,102701348680.0,37953101970.0,12755445270.0,,24707916860.0,40594717110.0,82646748120.0,449414089180.0,,,327802000.0,533198586280.0,23653221360.0,0.0,140273915110.0,132062593000.0,224124204090.0,272636508110.0,29628387610.0,225260256680.0,202582521300.0,1142650410.0,300000000.0,,68355301100.0,95166733580.0,-90155866780.0,13014815820.0,-26811432480.0,-8786237520.0,4.41201,,2.94463,1
DMC.HM,,1300431302430.0,197963544160.0,0.0,39922462190.0,159281868300.0,,4586.62526,4586.62526,34727470.0,34727470.0,2375.0,26.80305,12.2583265431,207824228780.0,183678133200.0,310376797210.0,225000000000.0,756589795030.0,348511691190.0,1421755239470.0,134635312440.0,45606624880.0,,17600926060.0,1621851432990.0,206408500260.0,0.0,147650159890.0,0.0,0.0,148610690230.0,179535201030.0,1315371768860.0,-232527454590.0,4635170570.0,960530340.0,10592350600.0,162445026800.0,6114232710.0,-97757355070.0,-86818662500.0,156330794090.0,-22150657380.0,13.29452,,10.63017,0
SJD.HM,,225465834160.0,199882867370.0,13372159760.0,39931563290.0,159934465490.0,,2317.93716,2317.93716,68998620.0,68998620.0,,54.69626,47.5675520913,282611729390.0,202327965170.0,29472025740.0,,802263828000.0,4205604320.0,837991520730.0,523051539420.0,3400000000.0,,1841309270.0,1383859793120.0,50294911000.0,3857267370.0,191303608610.0,232081194310.0,241814898110.0,436758620790.0,101498007480.0,877193911120.0,190750070850.0,21116450860.0,,556676770.0,-9622734750.0,1080000410.0,16297202550.0,-37157323200.0,-10702735160.0,-30483165570.0,47.01259,,37.60079,1
VID.HM,,989213725560.0,74299806280.0,14808210750.0,15286419080.0,35108151240.0,,1166.05326,1166.05326,32858430.0,32858430.0,3325.0,11.72057,6.4311391169,76388154330.0,68396034760.0,177854222250.0,71648807670.0,246907655140.0,243654990200.0,676976245150.0,49269631620.0,24045183190.0,4450373370.0,347042370050.0,1168857320010.0,230346027510.0,301825787480.0,421934353610.0,8415000000.0,289110397340.0,532089847540.0,85749955740.0,416203031390.0,274072123260.0,2380380010.0,,7992119580.0,-22240658350.0,1840446440.0,77111265050.0,354847540.0,-24081104790.0,55225454240.0,7.54892,0.0,3.26881,1
SFI.HM,,1637690550850.0,213958042890.0,7501890.0,41045258540.0,173067714720.0,,12565.7669,12565.7669,13771730.0,13771730.0,2850.0,12.61146,7.4600712299,156795052060.0,138134304020.0,277689271120.0,46142961630.0,409165204970.0,762777310.0,689908573930.0,77018143760.0,5150493420.0,,160866262870.0,933648493030.0,263185430750.0,0.0,218229638110.0,0.0,0.0,221515964910.0,121714867860.0,480525401170.0,-138396144880.0,,1430350440.0,4707126670.0,1609005030.0,19391506780.0,128160235180.0,-34711299680.0,-17782501750.0,95215796890.0,11.66976,0.0,9.34668,1
VTB.HM,,318845300310.0,8641986700.0,94548760.0,1485020220.0,4680313860.0,,433.1811,433.1811,10804520.0,10804520.0,950.0,24.6076,2.1364437423,11930412790.0,6996581650.0,66020191740.0,38287396250.0,24344429070.0,53955364700.0,150424026580.0,69917805670.0,18619298200.0,,5000000000.0,268570321930.0,1759404960.0,0.0,82094136540.0,5500000000.0,5670000000.0,104450613280.0,25964855480.0,201025072440.0,-5092098380.0,26610862610.0,7096216850.0,5098677090.0,78122890480.0,3529720430.0,-42867305620.0,-24412574400.0,74593170050.0,10843010460.0,2.77948,,1.42916,1
CLC.HM,,1973165418620.0,168931009200.0,1894918650.0,34275089020.0,135420824480.0,,4639.97201,4639.48761,26204850.0,26207580.0,3325.0,13.30896,7.4996415901,192936585650.0,160649554600.0,61971518990.0,,194715378370.0,734664605510.0,1006964597910.0,26829784800.0,4457537280.0,,0.0,1050169038970.0,111294014240.0,111754250800.0,180475534570.0,0.0,22784780530.0,180981529660.0,181131297100.0,730638429830.0,-33035349610.0,4624485950.0,505995080.0,888219000.0,-14250987600.0,4438907660.0,10057582660.0,10346721280.0,-18689895260.0,6151388850.0,7.92195,,5.68969,1
ITA.HM,,601654176590.0,330679174010.0,13641838240.0,63814985730.0,261689331850.0,,278.89088,278.89088,938321580.0,938321580.0,,43.96967,35.7390210428,342771263570.0,333206812360.0,231659059700.0,,1543695534190.0,3725792922890.0,5898599317920.0,1621123617960.0,3750631850.0,,3791395568360.0,13272810419480.0,209313346360.0,2999456890.0,2081273290380.0,176849914370.0,300093454860.0,2765081162100.0,1034524722660.0,10732018696170.0,258669069590.0,12719967760.0,356454464490.0,515641180.0,491951039720.0,51621668870.0,-169444494560.0,-172683245790.0,440329370850.0,149823299370.0,35.26775,,28.06822,1
BMI.HM,,3764103812500.0,39541383900.0,,37988584640.0,195222427310.0,,1505.3855,1505.3855,109624840.0,109624840.0,1583.327,,1.0395655186,56376325039.9966,39541383909.9966,,,-47790055050.0,,,112483813660.0,193898069000.0,,3161475328980.0,6551551741010.0,970465449640.0,0.0,,0.0,0.0,4248875970740.0,386106542390.0,2302675770280.0,,29710679910.0,122361021290.0,6157121380.0,298186312410.0,18874204530.0,-247796219000.0,-137031056700.0,279312107880.0,-86439097200.0,6.13125,0.0,4.35456,1
